Match,EpisodeReward,ScoreFor,ScoreAgainst,StepsDone,Epsilon
283,-412.947564,1,0,103187,0.0500
284,-785.244426,0,0,103459,0.0500
285,-574.817515,1,0,103794,0.0500
286,-462.346127,1,0,104189,0.0500
287,131.117717,3,1,104536,0.0500
288,-616.786841,0,0,104907,0.0500
289,-782.284816,1,0,105222,0.0500
290,-403.411968,1,0,105602,0.0500
291,-517.445892,1,0,105847,0.0500
292,643.613678,2,0,106159,0.0500
293,-301.115512,1,0,106436,0.0500
294,-706.531568,1,0,106767,0.0500
295,-51.961971,1,0,107055,0.0500
296,757.534146,2,0,107387,0.0500
297,-274.521497,0,0,107699,0.0500
298,2064.678171,5,0,108036,0.0500
299,287.880150,1,0,108316,0.0500
300,-1092.795317,0,1,108650,0.0500
301,-720.822448,0,0,108904,0.0500
302,2460.120744,6,0,109198,0.0500
303,-869.468006,0,1,109469,0.0500
304,-481.372647,1,1,109704,0.0500
305,624.288408,2,0,109949,0.0500
306,-1128.669543,0,0,110263,0.0500
307,-334.587614,2,0,110577,0.0500
308,131.931672,1,0,110922,0.0500
309,-631.554034,1,1,111266,0.0500
310,130.879655,2,0,111587,0.0500
311,-259.054766,1,0,111939,0.0500
312,58.561985,1,0,112312,0.0500
313,7.592916,1,0,112627,0.0500
314,-1384.255889,0,1,112900,0.0500
315,1110.164627,4,0,113263,0.0500
316,1871.259713,6,1,113567,0.0500
317,-271.356012,1,0,113829,0.0500
318,-1275.959662,0,1,114162,0.0500
319,-1731.705078,0,1,114498,0.0500
320,-468.206135,0,0,114807,0.0500
321,-264.949254,1,0,115181,0.0500
322,1080.913913,3,0,115512,0.0500
323,-395.892814,0,0,115914,0.0500
324,-757.146185,0,0,116277,0.0500
325,1439.261939,4,0,116566,0.0500
326,-44.231713,1,0,116827,0.0500
327,565.388531,4,1,117154,0.0500
328,1128.854083,3,0,117462,0.0500
329,1642.702971,4,0,117772,0.0500
330,-1373.037343,0,1,118060,0.0500
331,-716.666243,0,0,118396,0.0500
332,325.179898,3,1,118773,0.0500
333,639.138507,3,1,119108,0.0500
334,-1521.122343,0,1,119389,0.0500
335,4769.540935,10,0,119667,0.0500
336,863.678782,4,1,119944,0.0500
337,-498.725774,0,0,120240,0.0500
338,-958.030514,0,0,120518,0.0500
339,-69.024942,2,0,120800,0.0500
340,812.120512,3,0,121081,0.0500
341,1706.128231,4,0,121365,0.0500
342,66.907069,1,0,121651,0.0500
343,-842.384247,0,0,121875,0.0500
344,-637.397223,1,0,122175,0.0500
345,-387.118069,2,1,122518,0.0500
346,-834.051948,1,1,122832,0.0500
347,-738.209245,0,0,123140,0.0500
348,1565.841316,5,0,123494,0.0500
349,-543.740162,0,0,123760,0.0500
350,-149.437568,0,0,124078,0.0500
351,318.574421,3,1,124369,0.0500
352,42.410610,1,0,124660,0.0500
353,-583.774244,0,0,124927,0.0500
354,143.021237,1,0,125217,0.0500
355,1271.731010,3,0,125505,0.0500
356,325.585619,1,0,125762,0.0500
357,-211.438240,0,0,126040,0.0500
358,2275.011209,5,0,126359,0.0500
359,-106.198537,1,0,126676,0.0500
360,-140.200554,1,0,126936,0.0500
361,-760.479561,1,1,127188,0.0500
362,-326.609411,2,1,127459,0.0500
363,-18.749790,1,0,127747,0.0500
364,-1125.073845,0,1,128037,0.0500
365,400.219171,3,1,128365,0.0500
366,-916.467572,1,0,128710,0.0500
367,-1520.050373,0,1,129015,0.0500
368,-115.480111,1,0,129282,0.0500
369,141.740258,1,0,129555,0.0500
370,1369.060832,5,1,129879,0.0500
371,762.576312,3,0,130231,0.0500
372,365.746184,2,0,130516,0.0500
373,1664.339851,5,0,130845,0.0500
374,390.319260,1,0,131121,0.0500
375,-529.606910,0,0,131408,0.0500
376,-254.741682,1,0,131657,0.0500
377,738.205391,3,0,131918,0.0500
378,74.357016,2,1,132254,0.0500
379,532.258798,2,0,132565,0.0500
380,-1186.135733,0,1,132896,0.0500
381,-167.206200,1,0,133264,0.0500
382,-739.770534,1,1,133632,0.0500
383,176.210191,2,0,133972,0.0500
384,1456.512682,5,1,134374,0.0500
385,197.646590,1,0,134651,0.0500
386,-825.556493,0,1,134966,0.0500
387,-1372.129353,0,1,135225,0.0500
388,-2.388966,2,1,135511,0.0500
389,-446.189921,0,0,135739,0.0500
390,936.625282,3,0,136000,0.0500
